Dish,Per Serving Household Measure, B-Carotene , Calcium , Carbohydrate , Cholesterol , Dietary fibre , Energy , Iron , Monounsaturated fat , Phosphorus , Polyunsaturated fat , Potassium , Protein , Retinol , Riboflavin , Saturated fat , Selenium , Sodium , Starch , Sugar , Thiamin , Total fat , Vitamin A , Vitamin C , Vitamin D , Water , Whole-grains , Zinc 
 Ayam penyet with rice , Plate-23cm (499g) ,68.16,132.09,77.2,120.46,4.44,935.63,6.34,12.18,543.36,5.04,735.13,84.28,7.49,0.85,11.43,49.75,1591.76,62.87,12.72,0.1,32.48,18.91,1.65,9.48,306.39,0.0,5.69
" BBQ Turkey Bacon Double Cheeseburger, Burger King ", Whole (221g) ,0.0,302.77,38.87,90.61,2.87,623.22,4.57,11.99,400.01,1.49,525.98,35.36,0.0,0.77,13.54,7.51,1180.14,23.21,10.23,0.38,35.05,121.55,1.55,0.0,103.54,0.0,5.9
 Bak kut teh , Bowl-soup (16 and 1/2 cm) (458g) ,0.0,361.82,0.0,164.88,0.0,348.08,3.21,9.16,0.0,3.66,0.0,30.23,0.0,0.0,10.08,0.0,1415.22,0.0,0.0,0.0,25.19,0.0,0.0,0.0,393.88,0.0,0.0
" Bak kut teh, soup only ", Bowl-soup (16 and 1/2 cm) (417g) ,0.0,175.14,9.59,33.36,0.0,50.04,0.0,0.13,79.23,0.17,233.52,2.09,0.0,0.21,0.08,0.0,3807.21,0.0,5.84,0.38,0.42,0.0,0.0,0.0,401.57,0.0,0.0
 Baked durian mooncake , Slice (25g) ,1.25,14.4,12.44,0.75,0.68,102.35,0.44,2.22,36.2,0.79,41.38,1.28,0.0,0.03,2.03,5.83,46.38,4.33,8.11,0.0,5.28,1.25,0.13,0.0,5.54,0.0,0.24
 Ban mian soup , Bowl-soup (16 and 1/2 cm) (528g) ,607.2,84.48,48.05,232.32,3.17,475.2,1.06,9.5,174.24,3.17,491.04,21.65,121.44,0.9,8.45,181.63,2196.48,48.05,0.01,0.21,21.65,221.76,0.01,0.0,435.07,0.0,1.58
 Banana fritter , Piece (65g) ,24.7,30.55,35.88,0.0,2.28,196.95,0.52,1.37,28.6,0.26,217.75,1.43,0.0,0.08,3.45,0.72,103.35,7.41,13.59,0.0,5.33,3.9,0.65,0.0,34.58,0.0,0.33
" Beans broad, coated with satay powder, deep fried ", Cup (121g) ,6.29,71.15,40.39,4.48,11.28,472.63,2.92,10.01,266.44,3.06,681.35,22.84,5.81,0.15,10.26,44.29,1130.87,30.47,9.92,0.14,24.41,6.9,0.0,0.0,3.29,0.0,2.15
 Beef ball kway teow soup , Bowl-soup (16 and 1/2 cm) (550g) ,0.0,115.5,86.35,38.5,5.5,627.0,7.15,5.61,275.0,1.21,203.5,38.5,5.5,0.28,6.99,25.85,1496.0,86.35,0.0,0.22,14.3,5.5,0.0,0.0,442.75,0.0,4.4
 Beef burger with cheese , Whole (118g) ,0.0,0.0,32.0,41.01,2.31,300.12,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,5.99,0.0,690.01,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
 Beef noodles soup , Bowl-soup (16 and 1/2 cm) (789g) ,3080.78,284.61,59.91,50.98,5.33,412.15,4.68,2.22,221.86,1.45,922.12,29.14,0.0,0.58,2.07,4.11,3978.37,46.74,13.0,0.26,5.98,514.34,119.62,0.0,677.97,0.0,5.84
 Beef rendang , 1 portion (267g) ,419.19,66.75,3.74,237.63,7.48,596.03,8.28,13.08,429.87,3.2,803.67,68.09,120.15,1.28,16.55,189.3,1337.67,1.6,2.14,0.51,34.44,189.57,0.0,0.0,149.25,0.0,13.62
" Beef satay, without satay sauce ", Stick (12g) ,0.0,2.88,2.3,19.68,0.0,28.74,0.55,0.4,23.76,0.07,36.12,2.92,2.04,0.09,0.37,3.71,27.96,0.05,2.26,0.01,0.88,2.04,0.0,0.0,5.39,0.0,0.78
